user_ID,video_ID,video_name,rating_type,rating,timestamp
2,0,"['..\\videos\\source\\Beauty_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\Beauty_15_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Beauty_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\Beauty_15_svp_60.mp4']",radio,1,2022-06-24 13:29:28 161418
2,1,"['..\\videos\\source\\BallUnderWater_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\BallUnderWater_15_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BallUnderWater_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\BallUnderWater_15_rife-ncnn-v23_60.mp4']",radio,1,2022-06-24 13:30:26 868308
2,2,"['..\\videos\\source\\BarScene_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\BarScene_15_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BarScene_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\BarScene_15_rife-ncnn-v23_60.mp4']",radio,4,2022-06-24 13:30:52 698918
2,3,"['..\\videos\\source\\Birthday_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\Birthday_15_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Birthday_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\Birthday_15_rife-ncnn-v23_60.mp4']",radio,1,2022-06-24 13:31:27 199394
2,4,"['..\\videos\\source\\BarScene_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\BarScene_30_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BarScene_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\BarScene_30_rife-ncnn-v23_60.mp4']",radio,5,2022-06-24 13:31:48 803756
2,5,"['..\\videos\\source\\ArenaOfValor_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\ArenaOfValor_15.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\ArenaOfValor_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\ArenaOfValor_15.mp4']",radio,1,2022-06-24 13:32:48 075678
2,6,"['..\\videos\\source\\Beauty_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\Beauty_15.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Beauty_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\Beauty_15.mp4']",radio,1,2022-06-24 13:33:12 233575
2,7,"['..\\videos\\source\\ArenaOfValor_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\ArenaOfValor_30_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\ArenaOfValor_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\ArenaOfValor_30_rife-ncnn-v23_60.mp4']",radio,4,2022-06-24 13:34:06 210564
2,8,"['..\\videos\\source\\BarScene_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\BarScene_30_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BarScene_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\BarScene_30_svp_60.mp4']",radio,5,2022-06-24 13:34:30 684127
2,9,"['..\\videos\\source\\BallUnderWater_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\BallUnderWater_30_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BallUnderWater_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\BallUnderWater_30_svp_60.mp4']",radio,2,2022-06-24 13:46:05 308933
2,10,"['..\\videos\\source\\ArenaOfValor_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\ArenaOfValor_15_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\ArenaOfValor_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\ArenaOfValor_15_svp_60.mp4']",radio,1,2022-06-24 13:47:03 400794
2,11,"['..\\videos\\source\\Beauty_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\30\\Beauty_30.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Beauty_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\30\\Beauty_30.mp4']",radio,5,2022-06-24 13:47:28 270813
2,12,"['..\\videos\\source\\Beauty_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\Beauty_30_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Beauty_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\Beauty_30_svp_60.mp4']",radio,3,2022-06-24 13:47:51 416769
2,13,"['..\\videos\\source\\BallUnderWater_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\30\\BallUnderWater_30.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BallUnderWater_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\30\\BallUnderWater_30.mp4']",radio,2,2022-06-24 13:48:48 056068
