user_ID,video_ID,video_name,tracker
2,17,"['..\\videos\\source\\BarScene_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\BarScene_15.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BarScene_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\BarScene_15.mp4']",No tracking data submitted.
2,18,"['..\\videos\\source\\BarScene_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\BarScene_15_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BarScene_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\BarScene_15_svp_60.mp4']",No tracking data submitted.
2,19,"['..\\videos\\source\\Birthday_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\Birthday_15_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Birthday_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\Birthday_15_svp_60.mp4']",No tracking data submitted.
2,20,"['..\\videos\\source\\Birthday_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\Birthday_15.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Birthday_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\Birthday_15.mp4']",No tracking data submitted.
2,21,"['..\\videos\\source\\ArenaOfValor_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\ArenaOfValor_30_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\ArenaOfValor_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\ArenaOfValor_30_svp_60.mp4']",No tracking data submitted.
2,22,"['..\\videos\\source\\ArenaOfValor_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\ArenaOfValor_15_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\ArenaOfValor_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\15\\ArenaOfValor_15_rife-ncnn-v23_60.mp4']",No tracking data submitted.
2,23,"['..\\videos\\source\\BallUnderWater_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\BallUnderWater_15_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BallUnderWater_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\15\\BallUnderWater_15_svp_60.mp4']",No tracking data submitted.
2,24,"['..\\videos\\source\\Birthday_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\Birthday_30_svp_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Birthday_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\SVP\\30\\Birthday_30_svp_60.mp4']",No tracking data submitted.
2,25,"['..\\videos\\source\\BallUnderWater_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\BallUnderWater_15.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\BallUnderWater_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\duplicated\\15\\BallUnderWater_15.mp4']",No tracking data submitted.
2,26,"['..\\videos\\source\\Beauty_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\Beauty_30_rife-ncnn-v23_60.mp4', '.\\videos\\gray.mkv', '..\\videos\\source\\Beauty_LossLess.mp4', '.\\videos\\gray.mkv', '..\\videos\\RIFE\\30\\Beauty_30_rife-ncnn-v23_60.mp4']",No tracking data submitted.
